COMUNE,FARMACIA,CL,INDIRIZZO,CAP,TELEFONO,PROVINCIA
CALATABIANO,Gerola Emilio,R,Piazza Sac. Dominici,95011,095-646351,Catania
CALTAGIRONE,Alì Loredana,U,"Via Principe Amedeo, 7",95041,0933-22200,Catania
CALTAGIRONE,Cardiel Gaetano,U,"Piazza Umberto, 7",95041,0933-21464,Catania
CALTAGIRONE,Gulino Rossella,U,"Viale Milazzo, 161/A",95041,0933-21805,Catania
CALTAGIRONE,Felice Antonio,U,"Via Tenente Cataldo, 16",95041,0933-34450,Catania
CALTAGIRONE,Ingala Gabriella,U,"Via Vittorio Emanuele, 14",95041,0933-21206,Catania
CALTAGIRONE,Mazza Antonino,U,"Via L. Sturzo, 34",95041,0933-21880,Catania
CALTAGIRONE,Rodomonte - Scollo SNC,U,"Via Roma, 115",95041,0933-22501,Catania
CALTAGIRONE,Santo Patrizia,U,"Via Fisicara, 21/C",95041,0933-21563,Catania
CALTAGIRONE,Scalia Remigia & C. SNC,U,"Viale M. Milazzo, 28",95041,0933-21349,Catania
CALTAGIRONE,Eredi Traversa Vittorio,U,"Via G. Arcoleo, 91",95041,0933-21566,Catania
CAMPOROTONDO ETNEO,Merendino Stefania,R,"Via Umberto, 63",95040,095-529388,Catania
CASTEL DI JUDICA,Gavini Alessio Rosario,R,"Via Montenegro, 4 - Giumarra",95040,095-664191,Catania
CASTEL DI JUDICA,Impelluso Rosa,U,"Via Trieste, 1",95040,095-7751044,Catania
CASTIGLIONE DI SICILIA,Luppino Giuseppe,R,"Via Marconi, 50",95012,0942-984064,Catania
CASTIGLIONE DI SICILIA,Portale Orazio,R,"Via Nazionale, 64 - Solicchiata",95030,0942-986415,Catania
CATANIA,Farmacia Nesima SNC Aiello & Alamo,U,"Via L. Nobili, 3",95100,095-474326,Catania
CATANIA,Alia Ada,U,"Via Vittorio Emanuele, 336",95100,095-7150612,Catania
CATANIA,Baglio Maria Luisa,U,Villaggio Sant'Agata - Zona B,95100,095-456555,Catania
CATANIA,Scrofani Stefania Sebastiana,U,"Via Umberto, 125",95100,095-311691,Catania
CATANIA,Sciotto Anna Maria,U,"Corso Martiri della Liberta', 16",95100,095-530003,Catania
CATANIA,Bartolotta Giovanna,U,"Piazza Carlo Alberto, 18",95100,095-327570,Catania
CATANIA,Battiati Marilena,U,"Via Francesco Crispi, 195",95100,095-537027,Catania
CATANIA,Bellomo Carmela Letizia,U,"Via Giuseppe Garibaldi, 24",95100,095-7150525,Catania
CATANIA,Bellomo Garufi Giuseppe S.N.C.,U,"Viale Mario Rapisardi, 320",95100,095-356724,Catania
CATANIA,Bonaccorsi Umberto S.N.C.,U,"Via Eleonora D'Angio', 43",95100,095-431401,Catania
CATANIA,Borgh Salvatore,U,"V.le Librino, 15",95100,095-577431,Catania
CATANIA,Brunetto Maria Angela,U,"Via Etnea, 39",95100,095-311408,Catania
CATANIA,Buccheri Giuseppe,U,"Via Plebiscito, 534",95100,095-454466,Catania
CATANIA,Farmacia Caffo A. & C. SNC,U,"Via Calvario, 7",95100,095-397113,Catania
CATANIA,Caltabiano Mauro,U,"Piazza Stesicoro, 36",95100,095-327647,Catania
CATANIA,Barresi Laura,U,"Via Giuseppe Garibaldi, 376",95100,095-454545,Catania
CATANIA,Coffa Antonina,U,"Via Cristoforo Colombo, 25",95100,095-345214,Catania
CATANIA,Consalvo Francesca,U,"Via Etnea, 238",95100,095-327563,Catania
CATANIA,Consoli Salvatore,U,"Via Etnea, 400",95100,095-448317,Catania
CATANIA,Costa Maria Lucia,U,"Piazza San Domenico, 28",95100,095-312885,Catania
CATANIA,De Gaetani Marilena,U,"Via Vittorio Emanuele II, 114",95100,095-326962,Catania
CATANIA,Di Grazia Giuseppe & C. S.N.C.,U,"Via L. Vigo, 43",95100,095-475564,Catania
CATANIA,Cicirata Bice,U,"Viale Felice Fontana, 1",95100,095-474724,Catania
CATANIA,Di Silvestri G. & C. SAS,U,"Via Torino, 70/76",95100,095-439357,Catania
CATANIA,Di Stefano Claudio Benedetto,U,"Piazza Cavour, 39",95100,095-439107,Catania
CATANIA,Farmacia Bellia L. & C. SNC,U,"Via Susanna, 2",95100,095-356095,Catania
CATANIA,Farmacia Croce Rossa,U,"Via Etnea, 274",95100,095-327232,Catania
CATANIA,Santangeli Clara,U,"Via della Concordia, 211",95100,095-341779,Catania
CATANIA,Dell'Indipendenza Palermo A. & C.,U,"Corso Indipendenza, 99",95100,095-203690,Catania
CATANIA,Farmacia Di Marco S.N.C.,U,"Via S. Citelli, 39",95100,095-361968,Catania
CATANIA,De Gaetani Angela,U,"Corso Indipendenza, 255",95100,095-471664,Catania
CATANIA,Farmacia Francaviglia S.N.C.,U,"Viale Medaglie d'Oro, 13",95100,095-450649,Catania
CATANIA,Ferrari Alessandra,U,"Viale Vittorio Veneto, 135",95100,095-503937,Catania
CATANIA,Farmacia Librino S.N.C.,U,"Viale Bummacaro, 6",95100,095-579687,Catania
CATANIA,Farmacia Li Volsi Dr. Paolo e Simona,U,"Via Messina, 447/E",95100,095-491087,Catania
CATANIA,Farmacia Merlo Gaetano & Figli snc,U,"Piazza Santa Maria di Gesu', 4",95100,095-311941,Catania
CATANIA,Farmacia Molina SNC,U,"Via Pidatella, 132",95100,095-372540,Catania
CATANIA,Conti Elena Maria,U,"Via G. Leopardi, 27",95100,095-687422,Catania
CATANIA,Farmacia La Scogliera SNC,U,"Via Medea, 11/B",95100,095-497499,Catania
CATANIA,Finocchiaro Giuseppa,U,"Via S.G.Battista, 8",95100,095-420602,Catania
CATANIA,Fisichella Gaia,U,"Via Zacco, 29",95100,095-339277,Catania
CATANIA,Fisichella Paolo,U,"Via Plebiscito, 224",95100,095-346423,Catania
CATANIA,Fonzo Franca,U,"Via Vittorio Emanuele II, 54",95100,095-531400,Catania
CATANIA,Gallo Alessandra,U,"Vill. Sant'Agata Zona A, 26",95100,095-457313,Catania
CATANIA,Gibiino G. & M.C. SNC,U,"Via Caduti Del Lavoro, 136",95100,095-494261,Catania
CATANIA,Giuffrida Maria Rita,U,"Via Passo Gravina, 127",95100,095-506283,Catania
CATANIA,Giuffrida Michele,U,"Via San Gaetano alle Grotte, 40",95100,095-322061,Catania
CATANIA,Giunta Guido,U,"Via Plebiscito, 391",95100,095-281739,Catania
CATANIA,Guarnaccia Concetta & C. S.N.C.,U,"Via Umberto, 254",95100,095-533945,Catania
CATANIA,Farmacia del Bosco Guarnaccia F.&C.,U,"Via Del Bosco, 70",95100,095-338984,Catania
CATANIA,La Corte Rossella,U,"Via Leucatia, 70/A",95100,095-337692,Catania
CATANIA,La Falce Marina,U,"Via Umberto, 155",95100,095-537016,Catania
CATANIA,Russello Carmen,U,"Piazza Risorgimento, 40/43",95100,095-454185,Catania
CATANIA,Artimagnella Marika,U,"Via Etnea, 387",95100,,Catania
CATANIA,Farmacia Leone G. & C. SNC,U,"Via Gustavo Vagliasindi, 25",95100,095-441081,Catania
CATANIA,Lo Castro G. & A. SNC,U,"Piazza Nettuno, 34",95100,095-491203,Catania
CATANIA,Lodi Roberta,U,"Viale Della Liberta', 57",95100,095-537562,Catania
CATANIA,Farmacia Aquileia SNC,U,"Corso Italia, 270",95100,095-374873,Catania
CATANIA,Farmacia Scalia Dr. Scalia Paolo & C.,U,"Via Enrico Besana, 7",95100,095-456482,Catania
CATANIA,Luca Antonio,U,"Via G. Ulisse, 28",95100,095-491041,Catania
CATANIA,Maggi Plinio,U,"Via Gabriele D'Annunzio, 1",95100,095-445086,Catania
CATANIA,Marchesini Silvia,U,"Via Vincenzo Giuffrida, 141",95100,,Catania
CATANIA,Marino Sergio,U,"Via Sebastiano Catania, 198",95100,095-515794,Catania
CATANIA,Monciino Salvatore,U,"Via Garibaldi, 74",95100,095-7150557,Catania
CATANIA,Farmacia Italia Dr. Mondì D. & C. SAS,U,"Via Duca degli Abruzzi, 99",95100,095-383217,Catania
CATANIA,Motta D. & G. SNC,U,"Via Etnea, 79",95100,095-316784,Catania
CATANIA,Farmacia Plebiscito Nicolosi F. & S.,U,"Via Giuseppe Garibaldi, 328",95100,095-451785,Catania
CATANIA,Farmacia Totaro A. e Palermo M. SNC,U,"Via Galermo, 288/D",95100,095-7145417,Catania
CATANIA,Palermo Maria Rita,U,"Stradale Gelso Bianco, 54/a",95100,095-575067,Catania
CATANIA,Palermo Teresa,U,"Via Duca degli Abruzzi, 7",95100,095-383069,Catania
CATANIA,Panebianco Giustina,U,"Viale Mario Rapisarda, 349",95100,095-359644,Catania
CATANIA,Farmacia Pantano & Figli SNC,U,"Via Cesare Beccaria, 79",95100,095-439286,Catania
CATANIA,Parenti Filippo,U,"Corso Indipendenza, 64",95100,095-202347,Catania
CATANIA,Parlato Ivo,U,"Stradale San Giorgio, 113",95100,095-456726,Catania
CATANIA,Peluso Antonino,U,"Viale Jonio, 62",95100,095-539094,Catania
CATANIA,Recca Giacinta,U,"Corso Italia, 105",95100,095-383536,Catania
CATANIA,Farmacia Galermo Recca M. & C. snc,U,"Via Galermo, 308",95100,095-7140483,Catania
CATANIA,Rizzo Nervo Maria,U,"Via Plebiscito, 116",95100,095-346004,Catania
CATANIA,Ronsisvalle Giosuè,U,"Via Etnea, 591",95100,095-431228,Catania
CATANIA,Russo Dr. Salvatore e Marina SNC,U,"Corso San Teodoro, 6",95100,095-451365,Catania
CATANIA,Farmacia dei Viali Salvia S. & C. snc,U,"Corso Italia, 12",95100,095-538312,Catania
CATANIA,Sangiorgi Gaetana,U,"Piazza Bonadies, 20",95100,095-356600,Catania
CATANIA,Farmacia Scalia Dr. Scalia Paolo & C.,U,"Via Giuseppe Garibaldi, 230",95100,095-310704,Catania
CATANIA,Scravaglieri Giuseppe,U,"Via Belice, 2",95100,095-579789,Catania
CATANIA,Sgalambro Francesco,U,"Via Gabriele D'Annunzio, 43",95100,095-441662,Catania
CATANIA,Sorbello & C. SNC,U,"Lago di Nicito, 85",95100,095-312784,Catania
CATANIA,Spampinato Francesco & C. SNC,U,"Via del Bosco, 282",95100,095-412542,Catania
CATANIA,Manzoni Bruno,U,"Via Duca degli Abruzzi, 215",95100,095-377100,Catania
CATANIA,Tedesco Patrizia,U,"Via Plebiscito, 329",95100,095-340264,Catania
CATANIA,Farmacia Totaro A. e Palermo M. SNC,U,"Viale Mario Rapisardi, 61",95100,095-354001,Catania
CATANIA,Tuccari Antonina & C. SNC,U,"Via Pietra dell'Ova, 123",95100,095-330184,Catania
CATANIA,Vacirca Rosa,U,"Via Gambino, 56",95100,095-327466,Catania
CATANIA,Venuto Pietro,U,"Via San Giuseppe La Rena, 98/H",95100,095-340903,Catania
CATANIA,Vergari Daniela,U,"Via del Bosco, 401",95100,095-414228,Catania
CATANIA,Vieni Donata,U,"Piazza Duomo, 16",95100,095-7150538,Catania
CATANIA,Zappalà C. & C. SNC,U,"Via Cibele, 57",95100,095-350307,Catania
CATANIA,Zappalà Maria Carmela,U,"Viale Mario Rapisardi, 229",95100,095-360755,Catania
CATANIA,Zarba Santi,U,"Via Armando Diaz, 17",95100,095-351815,Catania
CATANIA,Zerbo Maria,U,"Via Galermo, 270",95100,095-516589,Catania
CATANIA,Zinno Giampiero,U,"Via Plaia, 117",95100,095-341561,Catania
FIUMEFREDDO DI SICILIA,Caniglia Maria Rosa,U,"Via Umberto, 54",95013,095-641322,Catania
FIUMEFREDDO DI SICILIA,Patti Maria,U,"Via Roma, 13/a",95013,095-641338,Catania
GIARRE,Buda Salvatore,U,"Via Callipoli, 171",95014,095-931609,Catania
GIARRE,Carbonaro Luisa,U,"Viale Liberta', 68",95014,095-931803,Catania
GIARRE,Daidone Mario,R,"Via Dusmet, 11 - S.G. Montebello",95010,095-965064,Catania
GIARRE,Farmacia Grasso S.N.C.,U,"Corso Italia, 196",95014,095-932168,Catania
GIARRE,Farmacia Rapisarda S.N.C.,U,"Via Callipoli, 240",95014,095-931645,Catania
GIARRE,Saraceno Riccardo & C. SAS,U,"Via Luigi Pirandello, 11",95014,095-931543,Catania
GIARRE,Tropea Maria,R,"Viale dello Jionio, 34/C _ Macchie",95010,095-934222,Catania
GRAMMICHELE,Farmacia Scaccianoce S.N.C.,U,"Piazza Dante, 13",95042,0933-941065,Catania
GRAMMICHELE,Frazzetto Maria Stella,U,"Via Vittorio Emanuele, 196",95042,0933-940794,Catania
GRAMMICHELE,Vanella Marco,U,"Via Vittorio Emanuele, 146",95042,0933-941044,Catania
GRAMMICHELE,Corsaro Antonietta Maria,U,"Via Raffaele Failla, 91",95042,0933-94443,Catania
GRAVINA DI CATANIA,Brancato Arturo,U,"Via N. Coviello, 23",95030,095-241638,Catania
GRAVINA DI CATANIA,De Geronimo Pietro,U,"Via Antonio Gramsci, 71",95030,095-394265,Catania
GRAVINA DI CATANIA,Farmacia del Centro Patti S. & F. SNC,U,"Viale Guglielmo Marconi, 3/5",95030,095-421858,Catania
GRAVINA DI CATANIA,Papillo Tommaso,U,"Via Etnea, 238",95030,095-7442525,Catania
GRAVINA DI CATANIA,Farmacia S. Paolo S.N.C.,U,"Via S.D. Savio, 25",95030,095-414701,Catania
GRAVINA DI CATANIA,La Falce Giovanni,U,"Via Fasano, 112",95030,095-7500061,Catania
GRAVINA DI CATANIA,Zizza Maria Patrizia,U,"Via Fratelli Bandiera, 45",95030,095-411564,Catania
LICODIA EUBEA,Leonardi Sergio,R,"Corso Umberto, 175",95015,0933-963152,Catania
LINGUAGLOSSA,Nicolosi G. & F. SNC,U,"Via Umberto, 22",95015,095-643076,Catania
LINGUAGLOSSA,Nuciforo Salvatore,U,"Via Roma, 376",95015,095-643150,Catania
MALETTO,Rampulla Lucia Aurelia,R,"Via Umberto, 142",95035,095-698076,Catania
MANIACE,Castiglione Lucia,R,"Corso Fondaco, 41",95030,095-690054,Catania
MASCALI,Grasso Elvira,U,"Via Sic. Orientale, 210",95016,095-966334,Catania
MASCALI,Montalto Giuliana,R,"Via Etnea, 203 - Nunziata",95010,095-969046,Catania
MASCALUCIA,Caragliano Rita,U,"Via del Bosco, 68",95030,095-7275822,Catania
MASCALUCIA,Pappalardo Claudio,U,"Via Etnea, 212",95030,095-7277465,Catania
MASCALUCIA,Pappalardo Filippo,U,"Corso San Vito, 120",95030,095-7278343,Catania
MASCALUCIA,Pappalardo Giuseppe,U,"Via Roma, 150",95030,095-7271142,Catania
MASCALUCIA,Caruso Giuseppe,U,"Via Scalilla, 22/24",95030,095-7274779,Catania
MASCALUCIA,Iacà Maria Luisa Cristina,U,"Via Santa Chiara, 2",95030,095-2863416,Catania
MAZZARONE,Falconi Blanco Salvatrice,R,"Via Principe Umberto, 145",95040,0933-28251,Catania
MILITELLO VAL DI CATANIA,Farmacia Cianci di A. & P. SNC,U,"Via P. Carrera, 2",95043,095-655243,Catania
MILITELLO VAL DI CATANIA,Ragusa Vincenzo,U,"Via Umberto, 41",95043,095-655321,Catania
MILO,Nicosia Rosa,R,"Via Etnea, 11",95010,095-955384,Catania
MINEO,Costa Vincenzo Pietro,U,"Piazza Buglio, 23",95044,0933-981047,Catania
MINEO,Cuscunà Carmela,U,"Piazza Buglio, 32",95044,0933-981115,Catania
MIRABELLA IMBACCARI,Cosentino Gaspare,U,"Via Garibaldi, 13",95040,0933-991095,Catania
MIRABELLA IMBACCARI,Polizzi Luigia,U,"Via Profeta, 2",95040,0933-991516,Catania
MISTERBIANCO,Condorelli Antonino Fausto,U,"Via Giuseppe Garibaldi, 380",95045,095-301233,Catania
MISTERBIANCO,Condorelli G. & C. SNC,U,"Via G. Matteotti, 199",95045,095-301877,Catania
MISTERBIANCO,Di Luca Giovanni,U,"Via Giuseppe Garibaldi, 682",95045,095-461614,Catania
MISTERBIANCO-LINERI,Farmacia Lineri di Condorelli P&C SNC,U,"Via Lenin, 93/F",95045,095-471482,Catania
MISTERBIANCO,Gialdi Alessandra,U,"Strada S. Giov. Galermo, 91/a",95045,095-398841,Catania
MISTERBIANCO,Longo Domenico & C. S.N.C.,U,"Via Cairoli, 82",95045,095-301905,Catania
MISTERBIANCO,Matarazzo L. & C. SNC,U,"Via Torino, 56",95045,095-477224,Catania
MISTERBIANCO,Piccione Giuseppe,U,"Via Lombardia, 5",95045,095-398994,Catania
MISTERBIANCO,Spadaro C. & C. SNC,U,"Via dei Gerani, 12",95045,095-7145029,Catania
MISTERBIANCO - BELSITO,Lo Verde Gabriella,U,"Via delle Rose, 80/C",95045,095-516993,Catania
MISTERBIANCO,Greco Franca,U,Via Zinirco,95045,095-477683,Catania
MISTERBIANCO,Comunale,C,"Via Piano Tavola, 13",95045,095-713252,Catania
MOTTA SANT'ANASTASIA,Bellassai C. & C. SNC,U,"Via Regina Elena, 2",95040,095-306408,Catania
MOTTA SANT'ANASTASIA,Zappalà Maria Rita,U,"Via Vittorio Emanuele, 292",95040,095-306283,Catania
NICOLOSI,Farmacia Bonaccorso SNC,U,"Piazza Vittorio Emanuele, 39",95030,095-911191,Catania
PALAGONIA,Astuti Salvatore,U,"Via Isonzo, 5",95046,095-7951384,Catania
PALAGONIA,Calanducci Liliana,U,"Piazza Municipio, 5",95046,095-7951560,Catania
PALAGONIA,Scichilone Lucia,U,"Via Umberto, 18",95046,095-7951170,Catania
PALAGONIA,Iraci Maria Rita,U,"Via Palermo, 192",95046,095-7953456,Catania
PATERNO',Amore Gaetano,U,"Viale Don Orione, 1",95047,095-846398,Catania
PATERNO',Castro Mario,U,"Via Emanuele Bellia, 94",95047,095-854317,Catania
PATERNO',Chinnici Sante,U,"Via Canonico Renna, 114",95047,095-841386,Catania
PATERNO',Condorelli Matteo,U,"Via G.B. Nicolosi, 189",95047,095-857145,Catania
PATERNO',Costa Maria Santa,U,"Via Circonvallazione, 182",95047,095-855110,Catania
PATERNO',Cuscani Daniela,U,"Via Vittorio Emanuele, 34",95047,095-621012,Catania
PATERNO',Di Stefano Salvatore & C. S.N.C.,U,"Piazza Indipendenza, 17",95047,095-622512,Catania
PATERNO',Palermo A. & C. SNC,U,"Piazza Indipendenza, 30",95047,095-621421,Catania
PATERNO',Fresta Salvatore,U,"Via Petrarca, 11",95047,095-846266,Catania
PATERNO',Galluzzo Giacoma & C. SAS,U,"Via Vittorio Emanuele, 160",95047,095-846233,Catania
PATERNO',Eredi Lavore Concetta,U,"Via Vittorio Emanuele, 234",95047,095-842878,Catania
PEDARA,Traversa Francesca,U,"Via Perriera, 2/4",95030,095-7807285,Catania
PEDARA,Martinico Giuseppe,U,"Via Ara di Giove, 68",95030,095-7800226,Catania
PIEDIMONTE ETNEO,Russo Eleonora,R,"Via Vittorio Emanuele, 10",95010,095-644113,Catania
RADDUSA,Aiello Alfio,R,"Via Mazzini, 7",95040,095-662030,Catania
RAGALNA,Dell'Oglio Patrizia,R,"Via Paternò, 2/C",95030,095-849044,Catania
RAMACCA,Farmacia Gravina SNC,U,"Via Roma, 12",95040,095-7931877,Catania
RAMACCA,Gulizia Andrea Salvatore,U,"Piazza Umberto, 7",95040,095-653081,Catania
RAMACCA,D'Urso Maria - La Morella SNC,U,"Viale Mario Rapisardi, 27",95040,095-653171,Catania
RANDAZZO,Catalano Silvana,U,"Via Umberto, 63",95036,095-921005,Catania
RANDAZZO,Spartà G. & G. SNC,U,"Via C.A.Dalla Chiesa, 11",95036,095-921714,Catania
RIPOSTO,Farmacia Buscemi SAS,U,"Via Roma, 55/A",95018,095-931621,Catania
RIPOSTO,Antica Farmacia Elma SNC,U,"Corso Italia, 65",95018,095-931763,Catania
RIPOSTO,Lizzio Alfio,U,"Via Gramsci, 147",95018,095-931363,Catania
RIPOSTO,Pulvirenti Francesco,U,"Corso Italia, 96",95018,095-7793376,Catania
RIPOSTO,Russo Maria Bianca,R,"Via Lungomare, 30 - Torre Archirafi",95010,095-971115,Catania
RIPOSTO,Savoca C. & C. SNC,R,"Via E. Toti, 36 - Carruba",95010,095-964467,Catania
SAN CONO,Amoroso Antonio,R,"Piazza Umberto I, 8",95040,0933-970191,Catania
SAN GIOVANNI LA PUNTA,Cardillo Lucia Rosa,U,"Piazza Regina Elema, 13/A - Trappeto",95030,095-7177406,Catania
SAN GIOVANNI LA PUNTA,Urbano Valeria e Domenico SNC,U,"Piazza Bonaccorso, 9",95030,095-7178096,Catania
SAN GIOVANNI LA PUNTA,Cardillo Salvatore,U,"Via Duca D'Aosta, 20",95030,095-7415886,Catania
SAN GIOVANNI LA PUNTA,Schirò Eugenia,U,"Via della Regione, 107/A",95030,957410985.0,Catania
SAN GIOVANNI LA PUNTA,Scalia A. & C. SNC,U,"Via Roma, 267",95037,095-7411847,Catania
SAN GREGORIO DI CATANIA,Barbera Francesco,U,"Via XX Settembre, 87",95027,095-498743,Catania
SAN GREGORIO DI CATANIA,Traversa Marcello,U,"Via Roma, 20",95027,095-525811,Catania
SAN MICHELE DI GANZARIA,Farmacia Costa Saporito R & A SNC,R,"Via Roma, 6",95040,0933-976303,Catania
SAN PIETRO CLARENZA,Farmacia Condorelli G.L. & R. SNC,U,"Via Umberto, 113",95030,095-529085,Catania
SANTA MARIA DI LICODIA,Rapisarda Biagino,U,"Via Vittorio Emanuele, 291",95038,095-628949,Catania
SANTA VENERINA,Bellassai Giovanni,U,"Via Vittorio Emanuele, 184",95010,095-954714,Catania
SANTA VENERINA,Patanè Giuseppe,U,"Via Stabilimenti, 2",95010,095-953510,Catania
SANTA VENERINA,Massimino Filippo,R,"Piazza Lupis, 4/5 - Linera",95020,095-7086073,Catania
SANT'AGATA LI BATTIATI,Annolino G. & C. SNC,U,"Via Bellini, 51",95030,095-212784,Catania
SANT'AGATA LI BATTIATI,Eredi De Geronimo Carmelo,U,"Via Umberto, 13",95030,095-211056,Catania
SANT'ALFIO,Di Silvestri Elio,R,"Via Vittorio Emanuele, 5",95010,095-968341,Catania
SCORDIA,Bentivegna Pietro,U,"Via Garibaldi, 151",95048,095-657374,Catania
SCORDIA,Francavilla Maria Giuseppina,U,"Via Principe di Piemonte, 29",95048,095-7935296,Catania
SCORDIA,Russo Marcello,U,"Via Garibaldi, 33",95048,095-659006,Catania
SCORDIA,Tropea Migliore Gabriella,U,"Via Statuto, 255",95048,095-657402,Catania
TRECASTAGNI,Farmacia Leonardi & C. SNC,U,"Piazza Marconi, 4",95039,095-7806395,Catania
TRECASTAGNI,Farmacia Sanna Francesco SNC,U,"Piazza S. Alfio, 61",95039,095-7801340,Catania
TREMESTIERI ETNEO,Farmacia Aurora S.N.C.,U,"Via Pietro Mascagni, 2",95030,095-7251243,Catania
TREMESTIERI ETNEO,Farmacia A. D'urso di Priolo R. & C.,U,"Via Etnea, 459/O",95030,095-7410686,Catania
TREMESTIERI ETNEO,Farmacia Nuovaluce S.N.C.,U,"Via Nuovaluce, 49",95030,095-337934,Catania
TREMESTIERI ETNEO,Pappalardo Flaviano,U,"Via Nizzeti, 19",95030,095-494102,Catania
TREMESTIERI ETNEO,Arcidiacono Mariano,U,"Via Leonardo da Vinci, 12/L",95030,095-7250572,Catania
VALVERDE,Farmacia Comunale,C,"Corso Vittorio Emanuele, 1/A",95028,095-7211059,Catania
VALVERDE,Torrisi Giovanni,U,"Via Vincenzo Bellini, 20/A",95028,095-721324,Catania
VIAGRANDE,Farmacia Comunale,C,"Via Garibaldi, 237",95029,095-7899296,Catania
VIAGRANDE,Farmacia Felice di Labadie F. & A. sas,U,"Via Garibaldi, 82",95029,095-7894223,Catania
VIZZINI,Ferma Giovanni,U,"Via Vittorio Emanuele, 16",95049,0933-961204,Catania
VIZZINI,Giarrusso Mario,U,"Piazza Umberto, 8",95049,0933-961066,Catania
VIZZINI,Lauria Lucia Maria Rita,U,"Via Roma, 155",95049,0933-961363,Catania
VIZZINI,Scalia R. & C. SNC,U,"Via Vittorio Emanuele, 87",95049,0933-961163,Catania
ZAFFERANA ETNEA,Di Leo Giuseppina,R,"Via Vittorio Emanuele, 150 - Fleri",95020,095-7098033,Catania
ZAFFERANA ETNEA,Barbagallo SAS di Raciti A.,U,"Via Roma, 327",95019,095-7082005,Catania
ZAFFERANA ETNEA,Russo Anna Maria,U,"Via Roma, 311",95019,095-7082011,Catania
AGIRA,Campagna Buttafuoco Anna Maria,U,"Via Vittorio Emanuele, 144",94011,0935-691117,Enna
AGIRA,Castro Domenico,U,"Piazza F. Fedele, 21",94011,0935-691085,Enna
AGIRA,Vaccaro Maria Teresa,U,"Via Diodorea, 7",94011,0935-691045,Enna
AIDONE,Drago Rosalia,R,"Via G. Garibaldi, 78",94010,0935-588153,Enna
AIDONE,Messana Liboria,R,"Via F. Cordova, 30",94010,0935-586074,Enna
ASSORO,Farmacia Pesco SNC,R,"Via Crisa, 309",94010,0935-667230,Enna
ASSORO,Farmacia San Giorgio s.a.s.,RS,"Via Bachelet, 59 - San Giorgio",94010,0935-669603,Enna
BARRAFRANCA,Agozzino Rosa,U,"Corso G. Garibaldi, 179",94012,0934-465995,Enna
BARRAFRANCA,Cannada Renato,U,"Via Umberto, 36",94012,0934-464067,Enna
BARRAFRANCA,Mattina Stefano,U,"Via Vittorio Emanuele, 276",94012,0934-465779,Enna
CALASCIBETTA,Dolcimascolo Salvatore,R,"Via Nazionale, 91",94010,0935-34770,Enna
CALASCIBETTA,Fontanazza di Russo Maria Cristina,R,"Via Conte Ruggero, 5/7",94010,0935-34720,Enna
CATENANUOVA,Rizzo Sigismondo,R,"Via Vittorio Emanuele, 111",94010,0935-75124,Enna
CENTURIPE,Farmacia Cacia Erede Dr. Prospero Nicotra,U,"Via G. Garibaldi, 24",94010,0935-73162,Enna
CENTURIPE,Farmacia Greco SNC,U,"Via Umberto, 109",94010,0935-73185,Enna
CENTURIPE,Del Duomo - Zinna Giuseppe,U,"Piazza Duomo, 47",94010,0935-73814,Enna
CERAMI,Occhipinti Antonio,RS,"Via Roma, 43",94010,0935-931582,Enna
ENNA,Del Centro - Ingrasciotta Salvatore,U,"Via Roma, 315",94100,0935-500650,Enna
ENNA,Grippaudo - Spagnolo Giuseppe,U,"Via Libertà, 57",94100,0935-510666,Enna
ENNA,Librizzi - Raffaele Elisa,U,"Piazza Vittorio Emanuele, 21",94100,0935-500908,Enna
ENNA - PERGUSA,Persico Giovanni,RS,"Via Claudiano, 2",94100,0935-541359,Enna
ENNA,Saporito Corrado,U,"Via Roma, 386",94100,0935-500912,Enna
ENNA,Farmacia Tanteri,U,"Via Roma, 269",94100,0935-500913,Enna
ENNA BASSA,Sant'Anna - Alerci Elena,U,"Via Dell'Unità d'Italia, 13",94100,0935-29441,Enna
GAGLIANO CASTELFERRATO,Furia Concetta,R,"Via Roma, 350",94010,0935-693279,Enna
LEONFORTE,Eredi Pistone,U,"Corso Umberto, 24",94013,0935-903409,Enna
LEONFORTE,Farmacia Giunta SNC,U,"Corso Umberto, 239",94013,0935-903047,Enna
LEONFORTE,Runfola Giuseppe,U,"Corso Umberto, 238",94013,0935-903031,Enna
LEONFORTE,Farmacia Castrogiovanni Dr.ssa Mustica Grazia,U,"Corso Umberto, 105",94013,0935-903634,Enna
NICOSIA,Battiato Valerio,U,"Via Fratelli Testa, 50",94014,0935-638025,Enna
NICOSIA,Eremita Laura,U,"Piazza Garibaldi, 32",94014,0935-646800,Enna
NICOSIA,Malfitano Sergio,U,"Largo Duomo, 2",94014,0935-646259,Enna
NICOSIA,Tripi Lucia,U,"Via Fratelli Testa, 90",94014,0935-638059,Enna
NISSORIA,Ghirlanda Alessia,RS,"Via Vittorio Emanuele, 255",94010,0935-669347,Enna
PIAZZA ARMERINA,Vitale Crocifissa & C.,U,"Via Gen. Cascino, 17",94015,0935-680211,Enna
PIAZZA ARMERINA,Giusto Lucrezia,U,Via Manzoni,94015,0935-680058,Enna
PIAZZA ARMERINA,Gurreri Anna,U,"Via Vittorio Emanuele, 16",94015,0935-85453,Enna
PIAZZA ARMERINA,Salemi Rosario,U,"Via G. Marconi, 31",94015,0935-680018,Enna
