PERIODO,TERRITORIO,PATOLOGIA,MASCHI,FEMMINE
2009-2017,82081,Malattie infettive e parassitarie,1,0
2009-2017,82081,Tumore,8,4
2009-2017,82081,Tumori maligni,8,4
2009-2017,82081,"Tumori maligni delle labbra, cavità orale e faringe",1,0
2009-2017,82081,Tumori maligni dello stomaco,1,0
2009-2017,82081,Tumori maligni del fegato e dei dotti biliari intraepatici,0,1
2009-2017,82081,Tumori maligni del pancreas,0,1
2009-2017,82081,Tumori maligni della laringe e della trachea/bronchi/polm.,1,1
2009-2017,82081,Tumori maligni della prostata,2,0
2009-2017,82081,Tumori maligni del tessuto linfatico/ematopoietico,2,1
2009-2017,82081,"Malattie endocrine, nutrizionali e metaboliche",1,4
2009-2017,82081,Diabete mellito,1,4
2009-2017,82081,Disturbi psichici e comportamentali,0,3
2009-2017,82081,Malattie del sistema nervoso e degli organi di senso,2,0
2009-2017,82081,Malattie del sistema circolatorio,14,22
2009-2017,82081,Malattie ischemiche del cuore,2,4
2009-2017,82081,Altre malattie del cuore,3,1
2009-2017,82081,Malattie cerebrovascolari,1,4
2009-2017,82081,Malattie del sistema respiratorio,5,6
2009-2017,82081,Malattie croniche delle basse vie respiratorie,4,4
2009-2017,82081,Malattie dell'apparato digerente,2,0
2009-2017,82081,Malattie epatiche croniche,1,0
2009-2017,82081,Malattie del sistema genitourinario,1,0
2009-2017,82081,Malattie del rene e dell'uretere,1,0
2009-2017,82081,"Sintomi, segni, risultati anomali e cause mal definite",1,3
2009-2017,82082,Tumore,11,17
2009-2017,82082,Tumori maligni,11,16
2009-2017,82082,"Tumori maligni delle labbra, cavità orale e faringe",1,0
2009-2017,82082,Tumori maligni del colon,0,1
2009-2017,82082,Tumori maligni del fegato e dei dotti biliari intraepatici,1,0
2009-2017,82082,Tumori maligni del pancreas,2,1
2009-2017,82082,Tumori maligni della laringe e della trachea/bronchi/polm.,2,2
2009-2017,82082,Tumori maligni del seno,0,3
2009-2017,82082,Tumori maligni della cervice uterina,0,1
2009-2017,82082,Tumori maligni di altre parti dell'utero,0,3
2009-2017,82082,Tumori maligni della prostata,1,0
2009-2017,82082,Tumori maligni della vescica,1,0
2009-2017,82082,Tumori maligni del tessuto linfatico/ematopoietico,1,2
2009-2017,82082,"Malattie endocrine, nutrizionali e metaboliche",1,3
2009-2017,82082,Diabete mellito,0,3
2009-2017,82082,Disturbi psichici e comportamentali,1,11
2009-2017,82082,Malattie del sistema nervoso e degli organi di senso,2,7
2009-2017,82082,Malattie del sistema circolatorio,46,43
2009-2017,82082,Malattie ischemiche del cuore,23,8
2009-2017,82082,Altre malattie del cuore,5,5
2009-2017,82082,Malattie cerebrovascolari,12,14
2009-2017,82082,Malattie del sistema respiratorio,7,4
2009-2017,82082,Polmonite,0,1
2009-2017,82082,Malattie croniche delle basse vie respiratorie,6,2
2009-2017,82082,Malattie dell'apparato digerente,3,4
2009-2017,82082,Malattie epatiche croniche,0,2
2009-2017,82082,Malattie della pelle e del tessuto sottocutaneo,0,1
2009-2017,82082,Malattie del sistema genitourinario,2,2
2009-2017,82082,Malattie del rene e dell'uretere,2,2
2009-2017,82082,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,82082,Malformazioni congenite del sistema nervoso,0,1
2009-2017,82082,"Sintomi, segni, risultati anomali e cause mal definite",2,1
2009-2017,82082,Cause esterne di traumatismo e avvelenamento,3,6
2009-2017,82082,Accidenti,2,6
2009-2017,82082,Cadute accidentali,1,6
2009-2017,82082,"Omicidio, aggressione",1,0
2009-2017,83001,Malattie infettive e parassitarie,1,0
2009-2017,83001,Tumore,46,29
2009-2017,83001,Tumori maligni,45,28
2009-2017,83001,"Tumori maligni delle labbra, cavità orale e faringe",2,2
2009-2017,83001,Tumori maligni dello stomaco,2,0
2009-2017,83001,Tumori maligni del colon,3,3
2009-2017,83001,Tumori maligni del retto e dell'ano,2,0
2009-2017,83001,Tumori maligni del fegato e dei dotti biliari intraepatici,2,1
2009-2017,83001,Tumori maligni del pancreas,4,2
2009-2017,83001,Tumori maligni della laringe e della trachea/bronchi/polm.,9,0
2009-2017,83001,Tumori maligni del seno,0,8
2009-2017,83001,Tumori maligni di altre parti dell'utero,0,2
2009-2017,83001,Tumori maligni dell'ovaio,0,1
2009-2017,83001,Tumori maligni della prostata,9,0
2009-2017,83001,Tumori maligni del rene,2,0
2009-2017,83001,Tumori maligni della vescica,4,0
2009-2017,83001,Tumori maligni del tessuto linfatico/ematopoietico,2,6
2009-2017,83001,"Malattie endocrine, nutrizionali e metaboliche",4,9
2009-2017,83001,Diabete mellito,4,9
2009-2017,83001,Disturbi psichici e comportamentali,4,3
2009-2017,83001,Malattie del sistema nervoso e degli organi di senso,0,1
2009-2017,83001,Malattie del sistema circolatorio,57,62
2009-2017,83001,Malattie ischemiche del cuore,9,7
2009-2017,83001,Altre malattie del cuore,19,14
2009-2017,83001,Malattie cerebrovascolari,20,22
2009-2017,83001,Malattie del sistema respiratorio,15,3
2009-2017,83001,Polmonite,1,1
2009-2017,83001,Malattie croniche delle basse vie respiratorie,7,0
2009-2017,83001,Asma,1,0
2009-2017,83001,Malattie dell'apparato digerente,6,3
2009-2017,83001,Malattie epatiche croniche,2,1
2009-2017,83001,Malattie del sistema genitourinario,0,8
2009-2017,83001,Malattie del rene e dell'uretere,0,8
2009-2017,83001,Alcune condizioni che hanno origine nel periodo perinatale,1,0
2009-2017,83001,Malformazioni congenite e anormalità cromosomiche,0,1
2009-2017,83001,Malformazioni congenite del sistema nervoso,0,1
2009-2017,83001,"Sintomi, segni, risultati anomali e cause mal definite",7,8
2009-2017,83001,Cause esterne di traumatismo e avvelenamento,4,2
2009-2017,83001,Accidenti,3,2
2009-2017,83001,Accidenti di trasporto,1,0
2009-2017,83001,Cadute accidentali,2,2
2009-2017,83001,Eventi di intento indeterminato,1,0
2009-2017,83002,Malattie infettive e parassitarie,0,1
2009-2017,83002,Tumore,18,12
2009-2017,83002,Tumori maligni,16,12
2009-2017,83002,Tumori maligni dello stomaco,1,2
2009-2017,83002,Tumori maligni del pancreas,1,2
2009-2017,83002,Tumori maligni della laringe e della trachea/bronchi/polm.,6,1
2009-2017,83002,Tumori maligni del seno,0,1
2009-2017,83002,Tumori maligni di altre parti dell'utero,0,2
2009-2017,83002,Tumori maligni dell'ovaio,0,3
2009-2017,83002,Tumori maligni della prostata,3,0
2009-2017,83002,Tumori maligni della vescica,1,0
2009-2017,83002,Tumori maligni del tessuto linfatico/ematopoietico,1,1
2009-2017,83002,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,83002,"Malattie endocrine, nutrizionali e metaboliche",3,3
2009-2017,83002,Diabete mellito,3,1
2009-2017,83002,Disturbi psichici e comportamentali,0,1
2009-2017,83002,Malattie del sistema nervoso e degli organi di senso,3,2
2009-2017,83002,Malattie del sistema circolatorio,16,15
2009-2017,83002,Malattie ischemiche del cuore,5,3
2009-2017,83002,Altre malattie del cuore,4,3
2009-2017,83002,Malattie cerebrovascolari,5,6
2009-2017,83002,Malattie del sistema respiratorio,8,0
2009-2017,83002,Polmonite,1,0
2009-2017,83002,Malattie croniche delle basse vie respiratorie,6,0
2009-2017,83002,Malattie dell'apparato digerente,1,1
2009-2017,83002,Malattie epatiche croniche,1,0
2009-2017,83002,Malattie del sistema genitourinario,0,2
2009-2017,83002,Malattie del rene e dell'uretere,0,2
2009-2017,83002,"Sintomi, segni, risultati anomali e cause mal definite",4,4
2009-2017,83002,Cause esterne di traumatismo e avvelenamento,3,1
2009-2017,83002,Accidenti,3,1
2009-2017,83002,Accidenti di trasporto,1,0
2009-2017,83002,Cadute accidentali,2,0
2009-2017,83003,Tumore,32,44
2009-2017,83003,Tumori maligni,31,42
2009-2017,83003,"Tumori maligni delle labbra, cavità orale e faringe",1,2
2009-2017,83003,Tumori maligni dello stomaco,4,2
2009-2017,83003,Tumori maligni del colon,1,0
2009-2017,83003,Tumori maligni del retto e dell'ano,1,1
2009-2017,83003,Tumori maligni del fegato e dei dotti biliari intraepatici,0,6
2009-2017,83003,Tumori maligni del pancreas,1,4
2009-2017,83003,Tumori maligni della laringe e della trachea/bronchi/polm.,8,2
2009-2017,83003,Tumori maligni della cute,0,2
2009-2017,83003,Tumori maligni del seno,0,8
2009-2017,83003,Tumori maligni di altre parti dell'utero,0,3
2009-2017,83003,Tumori maligni della prostata,4,0
2009-2017,83003,Tumori maligni del rene,0,1
2009-2017,83003,Tumori maligni della vescica,1,1
2009-2017,83003,Tumori maligni del tessuto linfatico/ematopoietico,4,5
2009-2017,83003,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,4
2009-2017,83003,"Malattie endocrine, nutrizionali e metaboliche",4,9
2009-2017,83003,Diabete mellito,4,9
2009-2017,83003,Disturbi psichici e comportamentali,2,1
2009-2017,83003,Abuso di alcool (compresa psicosi alcolica),2,0
2009-2017,83003,Malattie del sistema nervoso e degli organi di senso,7,4
2009-2017,83003,Meningite (diverso da 03),1,0
2009-2017,83003,Malattie del sistema circolatorio,45,54
2009-2017,83003,Malattie ischemiche del cuore,16,8
2009-2017,83003,Altre malattie del cuore,12,12
2009-2017,83003,Malattie cerebrovascolari,3,13
2009-2017,83003,Malattie del sistema respiratorio,14,8
2009-2017,83003,Polmonite,5,2
2009-2017,83003,Malattie croniche delle basse vie respiratorie,5,3
2009-2017,83003,Asma,0,1
2009-2017,83003,Malattie dell'apparato digerente,6,3
2009-2017,83003,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,83003,Malattie epatiche croniche,2,1
2009-2017,83003,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,83003,Malattie del sistema genitourinario,3,6
2009-2017,83003,Malattie del rene e dell'uretere,2,6
2009-2017,83003,Alcune condizioni che hanno origine nel periodo perinatale,0,1
2009-2017,83003,"Sintomi, segni, risultati anomali e cause mal definite",12,9
2009-2017,83003,Cause esterne di traumatismo e avvelenamento,9,2
2009-2017,83003,Accidenti,7,1
2009-2017,83003,Accidenti di trasporto,1,0
2009-2017,83003,Cadute accidentali,3,1
2009-2017,83003,Suicidio e autolesione intenzionale,2,0
2009-2017,83003,"Omicidio, aggressione",0,1
2009-2017,83004,Malattie infettive e parassitarie,1,0
2009-2017,83004,Tumore,17,11
2009-2017,83004,Tumori maligni,17,10
2009-2017,83004,Tumori maligni dello stomaco,2,1
2009-2017,83004,Tumori maligni del colon,0,3
2009-2017,83004,Tumori maligni del fegato e dei dotti biliari intraepatici,1,1
2009-2017,83004,Tumori maligni della laringe e della trachea/bronchi/polm.,5,0
2009-2017,83004,Tumori maligni del seno,0,1
2009-2017,83004,Tumori maligni dell'ovaio,0,1
2009-2017,83004,Tumori maligni della prostata,3,0
2009-2017,83004,Tumori maligni del rene,1,0
2009-2017,83004,Tumori maligni della vescica,2,1
2009-2017,83004,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,83004,"Malattie endocrine, nutrizionali e metaboliche",1,5
2009-2017,83004,Diabete mellito,1,5
2009-2017,83004,Malattie del sistema nervoso e degli organi di senso,1,2
2009-2017,83004,Malattie del sistema circolatorio,37,32
2009-2017,83004,Malattie ischemiche del cuore,12,7
2009-2017,83004,Altre malattie del cuore,1,4
2009-2017,83004,Malattie cerebrovascolari,15,13
2009-2017,83004,Malattie del sistema respiratorio,4,6
2009-2017,83004,Polmonite,1,2
2009-2017,83004,Malattie croniche delle basse vie respiratorie,3,4
2009-2017,83004,Malattie dell'apparato digerente,3,0
2009-2017,83004,Malattie epatiche croniche,1,0
2009-2017,83004,Malattie del sistema genitourinario,2,4
2009-2017,83004,Malattie del rene e dell'uretere,2,4
2009-2017,83004,"Sintomi, segni, risultati anomali e cause mal definite",1,0
2009-2017,83004,Cause esterne di traumatismo e avvelenamento,3,3
2009-2017,83004,Accidenti,2,3
2009-2017,83004,Accidenti di trasporto,1,0
2009-2017,83004,Cadute accidentali,1,3
2009-2017,83004,Suicidio e autolesione intenzionale,1,0
2009-2017,83005,Malattie infettive e parassitarie,6,4
2009-2017,83005,Tubercolosi,0,2
2009-2017,83005,Epatite virale,1,0
2009-2017,83005,Tumore,529,367
2009-2017,83005,Tumori maligni,510,355
2009-2017,83005,"Tumori maligni delle labbra, cavità orale e faringe",9,2
2009-2017,83005,Tumori maligni dell'esofago,2,2
2009-2017,83005,Tumori maligni dello stomaco,25,14
2009-2017,83005,Tumori maligni del colon,43,39
2009-2017,83005,Tumori maligni del retto e dell'ano,6,5
2009-2017,83005,Tumori maligni del fegato e dei dotti biliari intraepatici,34,23
2009-2017,83005,Tumori maligni del pancreas,24,9
2009-2017,83005,Tumori maligni della laringe e della trachea/bronchi/polm.,150,32
2009-2017,83005,Tumori maligni della cute,4,3
2009-2017,83005,Tumori maligni del seno,0,68
2009-2017,83005,Tumori maligni della cervice uterina,0,4
2009-2017,83005,Tumori maligni di altre parti dell'utero,0,22
2009-2017,83005,Tumori maligni dell'ovaio,0,15
2009-2017,83005,Tumori maligni della prostata,59,0
2009-2017,83005,Tumori maligni del rene,6,8
2009-2017,83005,Tumori maligni della vescica,37,10
2009-2017,83005,Tumori maligni del tessuto linfatico/ematopoietico,40,45
2009-2017,83005,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,4,17
2009-2017,83005,"Malattie endocrine, nutrizionali e metaboliche",106,133
2009-2017,83005,Diabete mellito,103,123
2009-2017,83005,Disturbi psichici e comportamentali,19,18
2009-2017,83005,Abuso di alcool (compresa psicosi alcolica),2,0
2009-2017,83005,Malattie del sistema nervoso e degli organi di senso,36,54
2009-2017,83005,Meningite (diverso da 03),1,0
2009-2017,83005,Malattie del sistema circolatorio,657,927
2009-2017,83005,Malattie ischemiche del cuore,195,207
2009-2017,83005,Altre malattie del cuore,142,197
2009-2017,83005,Malattie cerebrovascolari,149,258
2009-2017,83005,Malattie del sistema respiratorio,110,77
2009-2017,83005,Polmonite,15,17
2009-2017,83005,Malattie croniche delle basse vie respiratorie,55,26
2009-2017,83005,Asma,2,2
2009-2017,83005,Malattie dell'apparato digerente,68,53
2009-2017,83005,"Ulcera dello stomaco, duodeno e digiuno",1,0
2009-2017,83005,Malattie epatiche croniche,29,23
2009-2017,83005,Malattie della pelle e del tessuto sottocutaneo,2,4
2009-2017,83005,Malattie del sistema osteomuscolare e del tessuto connettivo,3,2
2009-2017,83005,Artrite reumatoide e osteoartrite,1,0
2009-2017,83005,Malattie del sistema genitourinario,49,71
2009-2017,83005,Malattie del rene e dell'uretere,48,69
2009-2017,83005,Alcune condizioni che hanno origine nel periodo perinatale,6,7
2009-2017,83005,Malformazioni congenite e anormalità cromosomiche,4,4
2009-2017,83005,Malformazioni congenite del sistema circolatorio,2,2
2009-2017,83005,"Sintomi, segni, risultati anomali e cause mal definite",24,31
2009-2017,83005,Cause esterne di traumatismo e avvelenamento,77,28
2009-2017,83005,Accidenti,58,25
2009-2017,83005,Accidenti di trasporto,19,1
2009-2017,83005,Cadute accidentali,23,21
2009-2017,83005,Suicidio e autolesione intenzionale,11,2
2009-2017,83005,"Omicidio, aggressione",6,0
2009-2017,83005,Eventi di intento indeterminato,2,0
2009-2017,83006,Tumore,20,12
2009-2017,83006,Tumori maligni,18,12
2009-2017,83006,Tumori maligni dello stomaco,2,0
2009-2017,83006,Tumori maligni del colon,2,0
2009-2017,83006,Tumori maligni del retto e dell'ano,1,1
2009-2017,83006,Tumori maligni del fegato e dei dotti biliari intraepatici,1,1
2009-2017,83006,Tumori maligni del pancreas,1,2
2009-2017,83006,Tumori maligni della laringe e della trachea/bronchi/polm.,6,2
2009-2017,83006,Tumori maligni del seno,0,1
2009-2017,83006,Tumori maligni dell'ovaio,0,1
2009-2017,83006,Tumori maligni della prostata,1,0
2009-2017,83006,Tumori maligni del tessuto linfatico/ematopoietico,2,4
2009-2017,83006,"Malattie endocrine, nutrizionali e metaboliche",2,6
2009-2017,83006,Diabete mellito,1,5
2009-2017,83006,Disturbi psichici e comportamentali,2,1
2009-2017,83006,Malattie del sistema nervoso e degli organi di senso,0,1
2009-2017,83006,Malattie del sistema circolatorio,21,31
2009-2017,83006,Malattie ischemiche del cuore,4,7
2009-2017,83006,Altre malattie del cuore,4,6
2009-2017,83006,Malattie cerebrovascolari,7,11
2009-2017,83006,Malattie del sistema respiratorio,1,5
2009-2017,83006,Malattie croniche delle basse vie respiratorie,0,1
2009-2017,83006,Malattie dell'apparato digerente,3,7
2009-2017,83006,Malattie epatiche croniche,2,1
2009-2017,83006,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,83006,Malattie del sistema genitourinario,1,2
2009-2017,83006,Malattie del rene e dell'uretere,1,2
2009-2017,83006,"Sintomi, segni, risultati anomali e cause mal definite",3,1
2009-2017,83006,Cause esterne di traumatismo e avvelenamento,2,0
2009-2017,83006,Suicidio e autolesione intenzionale,2,0
2009-2017,83007,Malattie infettive e parassitarie,1,1
2009-2017,83007,Tumore,83,43
2009-2017,83007,Tumori maligni,82,40
2009-2017,83007,"Tumori maligni delle labbra, cavità orale e faringe",4,0
2009-2017,83007,Tumori maligni dell'esofago,1,0
2009-2017,83007,Tumori maligni dello stomaco,6,2
2009-2017,83007,Tumori maligni del colon,11,3
2009-2017,83007,Tumori maligni del retto e dell'ano,1,1
2009-2017,83007,Tumori maligni del fegato e dei dotti biliari intraepatici,3,2
2009-2017,83007,Tumori maligni del pancreas,3,1
2009-2017,83007,Tumori maligni della laringe e della trachea/bronchi/polm.,25,4
2009-2017,83007,Tumori maligni della cute,0,2
2009-2017,83007,Tumori maligni del seno,1,9
2009-2017,83007,Tumori maligni della cervice uterina,0,1
2009-2017,83007,Tumori maligni di altre parti dell'utero,0,1
2009-2017,83007,Tumori maligni dell'ovaio,0,2
2009-2017,83007,Tumori maligni della prostata,8,0
2009-2017,83007,Tumori maligni del rene,1,0
2009-2017,83007,Tumori maligni della vescica,3,0
2009-2017,83007,Tumori maligni del tessuto linfatico/ematopoietico,10,3
2009-2017,83007,"Malattie endocrine, nutrizionali e metaboliche",13,20
2009-2017,83007,Diabete mellito,12,20
2009-2017,83007,Disturbi psichici e comportamentali,2,2
2009-2017,83007,Malattie del sistema nervoso e degli organi di senso,3,4
2009-2017,83007,Malattie del sistema circolatorio,79,116
2009-2017,83007,Malattie ischemiche del cuore,22,19
2009-2017,83007,Altre malattie del cuore,12,15
2009-2017,83007,Malattie cerebrovascolari,27,50
2009-2017,83007,Malattie del sistema respiratorio,24,12
2009-2017,83007,Polmonite,5,1
2009-2017,83007,Malattie croniche delle basse vie respiratorie,5,4
2009-2017,83007,Asma,0,1
2009-2017,83007,Malattie dell'apparato digerente,7,6
2009-2017,83007,Malattie epatiche croniche,6,1
2009-2017,83007,Malattie del sistema genitourinario,6,6
2009-2017,83007,Malattie del rene e dell'uretere,5,6
2009-2017,83007,"Sintomi, segni, risultati anomali e cause mal definite",3,2
2009-2017,83007,Cause esterne di traumatismo e avvelenamento,12,6
2009-2017,83007,Accidenti,11,6
2009-2017,83007,Accidenti di trasporto,4,0
2009-2017,83007,Cadute accidentali,4,6
2009-2017,83007,Suicidio e autolesione intenzionale,1,0
2009-2017,83008,Tumore,36,29
2009-2017,83008,Tumori maligni,36,29
2009-2017,83008,"Tumori maligni delle labbra, cavità orale e faringe",0,2
2009-2017,83008,Tumori maligni dello stomaco,2,1
2009-2017,83008,Tumori maligni del colon,3,1
2009-2017,83008,Tumori maligni del retto e dell'ano,1,0
2009-2017,83008,Tumori maligni del fegato e dei dotti biliari intraepatici,4,2
2009-2017,83008,Tumori maligni del pancreas,2,3
2009-2017,83008,Tumori maligni della laringe e della trachea/bronchi/polm.,6,1
2009-2017,83008,Tumori maligni della cute,1,1
2009-2017,83008,Tumori maligni del seno,0,6
2009-2017,83008,Tumori maligni di altre parti dell'utero,0,1
2009-2017,83008,Tumori maligni dell'ovaio,0,2
2009-2017,83008,Tumori maligni della prostata,5,0
2009-2017,83008,Tumori maligni del rene,1,1
2009-2017,83008,Tumori maligni della vescica,5,0
2009-2017,83008,Tumori maligni del tessuto linfatico/ematopoietico,3,3
2009-2017,83008,"Malattie endocrine, nutrizionali e metaboliche",27,38
2009-2017,83008,Diabete mellito,27,36
2009-2017,83008,Disturbi psichici e comportamentali,6,2
2009-2017,83008,Malattie del sistema nervoso e degli organi di senso,2,0
2009-2017,83008,Malattie del sistema circolatorio,62,87
2009-2017,83008,Malattie ischemiche del cuore,21,15
2009-2017,83008,Altre malattie del cuore,7,15
2009-2017,83008,Malattie cerebrovascolari,11,22
2009-2017,83008,Malattie del sistema respiratorio,10,2
2009-2017,83008,Malattie croniche delle basse vie respiratorie,10,0
2009-2017,83008,Asma,1,0
2009-2017,83008,Malattie dell'apparato digerente,5,1
2009-2017,83008,Malattie epatiche croniche,3,1
2009-2017,83008,Malattie del sistema genitourinario,1,4
2009-2017,83008,Malattie del rene e dell'uretere,1,4
2009-2017,83008,"Sintomi, segni, risultati anomali e cause mal definite",4,2
2009-2017,83008,Cause esterne di traumatismo e avvelenamento,10,2
2009-2017,83008,Accidenti,2,1
2009-2017,83008,Cadute accidentali,1,1
2009-2017,83008,Suicidio e autolesione intenzionale,7,1
2009-2017,83009,Malattie infettive e parassitarie,3,1
2009-2017,83009,Tumore,181,147
2009-2017,83009,Tumori maligni,179,143
2009-2017,83009,"Tumori maligni delle labbra, cavità orale e faringe",6,1
2009-2017,83009,Tumori maligni dell'esofago,3,1
2009-2017,83009,Tumori maligni dello stomaco,7,4
2009-2017,83009,Tumori maligni del colon,17,17
2009-2017,83009,Tumori maligni del retto e dell'ano,3,2
2009-2017,83009,Tumori maligni del fegato e dei dotti biliari intraepatici,9,4
2009-2017,83009,Tumori maligni del pancreas,10,8
2009-2017,83009,Tumori maligni della laringe e della trachea/bronchi/polm.,43,16
2009-2017,83009,Tumori maligni della cute,7,0
2009-2017,83009,Tumori maligni del seno,1,26
2009-2017,83009,Tumori maligni di altre parti dell'utero,0,10
2009-2017,83009,Tumori maligni dell'ovaio,0,8
2009-2017,83009,Tumori maligni della prostata,17,0
2009-2017,83009,Tumori maligni del rene,4,4
2009-2017,83009,Tumori maligni della vescica,6,4
2009-2017,83009,Tumori maligni del tessuto linfatico/ematopoietico,25,21
2009-2017,83009,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,4
2009-2017,83009,"Malattie endocrine, nutrizionali e metaboliche",45,45
2009-2017,83009,Diabete mellito,43,44
2009-2017,83009,Disturbi psichici e comportamentali,4,6
2009-2017,83009,Malattie del sistema nervoso e degli organi di senso,14,11
2009-2017,83009,Meningite (diverso da 03),0,1
2009-2017,83009,Malattie del sistema circolatorio,207,262
2009-2017,83009,Malattie ischemiche del cuore,62,64
2009-2017,83009,Altre malattie del cuore,41,40
2009-2017,83009,Malattie cerebrovascolari,60,94
2009-2017,83009,Malattie del sistema respiratorio,48,26
2009-2017,83009,Polmonite,8,5
2009-2017,83009,Malattie croniche delle basse vie respiratorie,18,10
2009-2017,83009,Asma,0,2
2009-2017,83009,Malattie dell'apparato digerente,19,15
2009-2017,83009,Malattie epatiche croniche,8,7
2009-2017,83009,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,83009,Artrite reumatoide e osteoartrite,0,1
2009-2017,83009,Malattie del sistema genitourinario,17,9
2009-2017,83009,Malattie del rene e dell'uretere,17,9
2009-2017,83009,Alcune condizioni che hanno origine nel periodo perinatale,2,0
2009-2017,83009,Malformazioni congenite e anormalità cromosomiche,2,0
2009-2017,83009,Malformazioni congenite del sistema circolatorio,2,0
2009-2017,83009,"Sintomi, segni, risultati anomali e cause mal definite",15,14
2009-2017,83009,Cause esterne di traumatismo e avvelenamento,31,8
2009-2017,83009,Accidenti,22,8
2009-2017,83009,Accidenti di trasporto,3,2
2009-2017,83009,Cadute accidentali,12,3
2009-2017,83009,Avvelenamento accidentale,1,0
2009-2017,83009,Suicidio e autolesione intenzionale,9,0
2009-2017,83010,Malattie infettive e parassitarie,2,1
2009-2017,83010,Epatite virale,1,0
2009-2017,83010,Tumore,45,34
2009-2017,83010,Tumori maligni,45,32
2009-2017,83010,Tumori maligni dello stomaco,2,5
2009-2017,83010,Tumori maligni del colon,4,4
2009-2017,83010,Tumori maligni del retto e dell'ano,0,1
2009-2017,83010,Tumori maligni del fegato e dei dotti biliari intraepatici,3,0
2009-2017,83010,Tumori maligni del pancreas,4,4
2009-2017,83010,Tumori maligni della laringe e della trachea/bronchi/polm.,11,3
2009-2017,83010,Tumori maligni del seno,0,4
2009-2017,83010,Tumori maligni della cervice uterina,0,1
2009-2017,83010,Tumori maligni di altre parti dell'utero,0,2
2009-2017,83010,Tumori maligni dell'ovaio,0,2
2009-2017,83010,Tumori maligni della prostata,6,0
2009-2017,83010,Tumori maligni del rene,1,0
2009-2017,83010,Tumori maligni della vescica,4,0
2009-2017,83010,Tumori maligni del tessuto linfatico/ematopoietico,3,0
2009-2017,83010,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,1,1
2009-2017,83010,"Malattie endocrine, nutrizionali e metaboliche",4,6
2009-2017,83010,Diabete mellito,4,6
2009-2017,83010,Malattie del sistema nervoso e degli organi di senso,1,4
2009-2017,83010,Malattie del sistema circolatorio,70,63
2009-2017,83010,Malattie ischemiche del cuore,24,13
2009-2017,83010,Altre malattie del cuore,17,18
2009-2017,83010,Malattie cerebrovascolari,15,19
2009-2017,83010,Malattie del sistema respiratorio,21,9
2009-2017,83010,Polmonite,2,0
2009-2017,83010,Malattie croniche delle basse vie respiratorie,10,5
2009-2017,83010,Asma,2,1
2009-2017,83010,Malattie dell'apparato digerente,3,2
2009-2017,83010,Malattie epatiche croniche,2,1
2009-2017,83010,Malattie del sistema osteomuscolare e del tessuto connettivo,0,1
2009-2017,83010,Artrite reumatoide e osteoartrite,0,1
2009-2017,83010,Malattie del sistema genitourinario,3,5
2009-2017,83010,Malattie del rene e dell'uretere,3,5
2009-2017,83010,Alcune condizioni che hanno origine nel periodo perinatale,3,1
2009-2017,83010,"Sintomi, segni, risultati anomali e cause mal definite",0,2
2009-2017,83010,Cause esterne di traumatismo e avvelenamento,3,7
2009-2017,83010,Accidenti,1,6
2009-2017,83010,Cadute accidentali,1,6
2009-2017,83010,Suicidio e autolesione intenzionale,2,1
2009-2017,83011,Malattie infettive e parassitarie,1,0
2009-2017,83011,Tumore,55,48
2009-2017,83011,Tumori maligni,53,48
2009-2017,83011,"Tumori maligni delle labbra, cavità orale e faringe",3,0
2009-2017,83011,Tumori maligni dello stomaco,1,2
2009-2017,83011,Tumori maligni del colon,4,3
2009-2017,83011,Tumori maligni del retto e dell'ano,1,0
2009-2017,83011,Tumori maligni del fegato e dei dotti biliari intraepatici,3,2
2009-2017,83011,Tumori maligni del pancreas,2,1
2009-2017,83011,Tumori maligni della laringe e della trachea/bronchi/polm.,14,5
2009-2017,83011,Tumori maligni della cute,1,0
2009-2017,83011,Tumori maligni del seno,0,10
2009-2017,83011,Tumori maligni della cervice uterina,0,1
2009-2017,83011,Tumori maligni di altre parti dell'utero,0,2
2009-2017,83011,Tumori maligni dell'ovaio,0,6
2009-2017,83011,Tumori maligni della prostata,4,0
2009-2017,83011,Tumori maligni della vescica,2,1
2009-2017,83011,Tumori maligni del tessuto linfatico/ematopoietico,7,6
2009-2017,83011,Mal. del sangue e degli organi ematop. ed alc. dist. imm.,0,1
2009-2017,83011,"Malattie endocrine, nutrizionali e metaboliche",15,28
2009-2017,83011,Diabete mellito,14,26
2009-2017,83011,Disturbi psichici e comportamentali,2,1
2009-2017,83011,Malattie del sistema nervoso e degli organi di senso,3,0
2009-2017,83011,Malattie del sistema circolatorio,80,122
2009-2017,83011,Malattie ischemiche del cuore,28,24
2009-2017,83011,Altre malattie del cuore,17,24
